perturb_percent,perturb_time,controller,t_settle_after,ITAE,metric_M,rise_time,overshoot,settling_time_abs,rank_M,is_best
30,480,PID-GS-FF,343.3434343434343,4820.830596517229,0.8559442031995983,-40.56565656565655,8.243586589783988,823.3434343434343,3.0,False
30,480,PID,372.5353535353536,5477.0051644715095,0.9531513974404704,-40.56565656565655,8.924795849610696,852.5353535353536,4.0,False
30,510,PID-GS,0.0,989.0608345921291,0.1305950481760785,-40.56565656565655,1.8477920579989333,245.84848484848484,1.0,True
30,510,FF,0.0,1376.9813355820559,0.18181585759793722,-40.56565656565655,3.127280804356573,245.84848484848484,2.0,False
30,510,PID-FF,305.6868686868687,3846.991827877801,0.7194344372603803,-40.56565656565655,7.255704410178754,815.6868686868687,5.0,False
30,510,PID-GS-FF,184.2323232323232,2190.470466014958,0.4218236764344043,-40.56565656565655,5.296087339640302,694.2323232323232,4.0,False
30,510,PID,0.0,1569.1865246169923,0.20719452495974922,-40.56565656565655,4.25447677615943,245.84848484848484,3.0,False
30,540,PID-GS,0.0,864.0586111106644,0.114089823394419,-40.56565656565655,1.7490028133450983,245.84848484848484,2.0,False
30,540,FF,0.0,1687.0723603012948,0.22276010581385056,-40.56565656565655,3.7454639361683792,245.84848484848484,5.0,False
30,540,PID-FF,0.0,1220.5211394920398,0.16115693942892437,-40.56565656565655,3.857162324979882,245.84848484848484,4.0,False
30,540,PID-GS-FF,0.0,867.2116615323936,0.1145061504365237,-40.56565656565655,2.6206373101874263,245.84848484848484,3.0,False
30,540,PID,0.0,800.5783989267696,0.10570793112001493,-40.56565656565655,1.7490028133450983,245.84848484848484,1.0,True
40,360,PID-GS,283.02020202020196,4415.122860952161,0.7499037844393215,-40.56565656565655,8.204336586471273,643.020202020202,1.0,True
